host, subject, issuer, notBefore, notAfter, basicConstraints, sha1Fingerprint
"direct.sbbolmobile.sberbank.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"direct.sbbolmobile.sberbank.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"sbbolmobile.sberbank.ru","CN=sbbolmobile.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; C=RU; serialNumber=1027700132195; jurisdictionC=RU; businessCategory=Private Organization","CN=sbbolmobile.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; C=RU; serialNumber=1027700132195; jurisdictionC=RU; businessCategory=Private Organization","Jul 31 00:00:00 2020 GMT","Aug  5 12:00:00 2022 GMT","CA:FALSE critical","05:89:89:42:49:5F:60:21:31:50:F3:C1:8E:1D:3D:63:AA:07:95:21"
"sbbolmobile.sberbank.ru","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov  6 12:22:57 2017 GMT","Nov  6 12:22:57 2027 GMT","CA:TRUE, pathlen:0 critical","9E:84:8F:52:57:5C:6B:1A:69:D6:AB:62:E0:28:8B:FA:D4:A5:56:4E"
"sbbolmobile.sberbank.ru","CN=DigiCert High Assurance EV Root CA; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=DigiCert High Assurance EV Root CA; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov 10 00:00:00 2006 GMT","Nov 10 00:00:00 2031 GMT","CA:TRUE critical","5F:B7:EE:06:33:E2:59:DB:AD:0C:4C:9A:E6:D3:8F:1A:61:C7:DC:25"
"www.pokupay.ru","CN=pokupay.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=pokupay.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Aug  5 07:26:11 2020 GMT","Aug  6 07:26:11 2022 GMT","CA:FALSE","FA:96:B7:E7:76:82:72:28:8A:28:63:49:7A:0A:E0:80:E7:95:92:34"
"www.pokupay.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.pokupay.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"promo.sber.ru","CN=promo.sber.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=promo.sber.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Feb 22 06:26:10 2022 GMT","Mar 26 06:26:10 2023 GMT","CA:FALSE","16:36:B6:22:50:0E:EF:35:A4:35:75:A1:26:67:F2:B5:94:2B:C2:3D"
"promo.sber.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"promo.sber.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sberbank.com","CN=sberbank.com; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","CN=sberbank.com; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","Aug  4 08:00:03 2021 GMT","Sep  4 07:46:12 2022 GMT","CA:FALSE","BE:4A:4E:CD:EA:3E:9F:B6:80:C0:58:5E:3E:DB:80:27:A5:E6:6C:F5"
"sberbank.com","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"www.sberbank.com","CN=sberbank.com; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","CN=sberbank.com; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","Aug  4 08:00:03 2021 GMT","Sep  4 07:46:12 2022 GMT","CA:FALSE","BE:4A:4E:CD:EA:3E:9F:B6:80:C0:58:5E:3E:DB:80:27:A5:E6:6C:F5"
"www.sberbank.com","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sberbank.ru","CN=sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Aug 27 12:11:06 2021 GMT","Sep 28 12:11:06 2022 GMT","CA:FALSE","9A:8A:82:00:42:CA:EF:65:4E:42:5C:20:CA:20:DA:9E:F3:E9:5E:76"
"sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank.ru","CN=sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Aug 27 12:11:06 2021 GMT","Sep 28 12:11:06 2022 GMT","CA:FALSE","9A:8A:82:00:42:CA:EF:65:4E:42:5C:20:CA:20:DA:9E:F3:E9:5E:76"
"www.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank1.ru","CN=sberbank1.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","CN=sberbank1.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","Aug  4 08:02:05 2021 GMT","Sep  4 07:46:08 2022 GMT","CA:FALSE","A2:E6:0F:02:E5:7D:B5:7E:28:90:B8:41:A4:45:DD:61:D8:A2:93:92"
"sberbank1.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"www.sberbank1.ru","CN=sberbank1.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","CN=sberbank1.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU; jurisdictionST=Moscow; jurisdictionC=RU; serialNumber=1027700132195; businessCategory=Private Organization","Aug  4 08:02:05 2021 GMT","Sep  4 07:46:08 2022 GMT","CA:FALSE","A2:E6:0F:02:E5:7D:B5:7E:28:90:B8:41:A4:45:DD:61:D8:A2:93:92"
"www.sberbank1.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sberprime.sber.ru","CN=sberprime.sber.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberprime.sber.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Feb 22 06:31:07 2022 GMT","Mar 26 06:31:07 2023 GMT","CA:FALSE","27:DF:E5:EE:00:64:F6:58:F5:66:39:38:FA:14:96:AD:45:FB:4B:0B"
"sberprime.sber.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberprime.sber.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sberbank-ru.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
